time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
3.0,0.600000024,49.0,24.22217369,0.095421284,-79.78139721999999,40.45804752,269.3305754,0.001786858,0.005612317,-0.255498201,0.96679163,-0.009629906,-0.005061495,0.014379403,0.001427472,0.000857093,0.003252224,0.00261085,-0.127021514,-9.811073549
3.21,0.600000024,47.0,24.22342491,0.095421284,-79.78139729,40.45804754,269.3303279,0.00178139,0.005615586,-0.255505472,0.966789722,-0.008977393,0.000671871,0.012735301,0.000907698,-0.002066558,0.00498091,0.004401297,-0.119798412,-9.810025728
3.3,0.600000024,40.0,24.22718048,0.087469511,-79.7813973,40.45804754,269.3316059,0.00178139,0.005615586,-0.255505472,0.966789722,-0.010550169,0.000568443,0.012603597,-0.000722393,-1.4800000000000002e-05,-0.00252039,0.0058046919999999,-0.126464896,-9.810443219
3.5,0.600000024,33.0,24.21591187,0.095421284,-79.78139736,40.45804753,269.3332986,0.001789754,0.005621088,-0.255500197,0.966791093,-0.005004368,-0.00367605,0.016001579,0.000568761,0.001694978,0.001330059,0.003110704,-0.128286641,-9.810018711
3.6,0.600000024,23.0,24.22592926,0.071565963,-79.78139736,40.45804753,269.3349204,0.001789754,0.005621088,-0.255500197,0.966791093,-0.005484652,-0.003367861,0.016240867,-0.001485117,0.002606845,-0.000523576,0.008881153,-0.113747119,-9.812476881
3.8,0.699999988,22.0,24.22217369,0.087469511,-79.78139741999999,40.45804753,269.336821,0.001789425,0.005622802,-0.25549981,0.966791153,-0.005560405,-0.002086764,0.017725856,-0.00476434,-6.53e-05,-0.005036443,0.00850892,-0.119558384,-9.813559785
3.9,0.699999988,15.0,24.22592926,0.095421284,-79.78139743,40.45804753,269.338603,0.001789425,0.005622802,-0.25549981,0.966791153,-0.005509476,-0.001846443,0.017878998,0.003078042,-0.001319514,0.007838964,0.004300269,-0.12195968,-9.810347325
4.11,0.699999988,14.0,24.21340942,0.103373058,-79.7813975,40.45804753,269.3409633,0.001791517,0.005619904,-0.255495757,0.966792226,-0.008567964,-0.003036393,0.019072508,0.000925093,0.002314783,0.004532727,0.006084477,-0.115321628,-9.811562376
4.2,0.699999988,4.0,24.22843361,0.095421284,-79.78139755,40.45804753,269.341701,0.001788356,0.0056177569999999,-0.255497277,0.966791809,-0.011847187,-0.0005321319999999,0.01932164,0.001348824,0.002187968,0.002348164,0.003344673,-0.129079953,-9.810459591
4.4,0.699999988,3.0,24.21591187,0.127228379,-79.78139757,40.45804755,269.3456268,0.001788356,0.0056177569999999,-0.255497277,0.966791809,-0.012829178,-0.000164252,0.019536083,0.002725745,0.003560868,0.002356089,0.00260553,-0.127247573,-9.809344527
